customer_id,churn_probability,risk_tier
CUST00001,0.6815151196652779,High Risk
CUST00002,0.7114054920244541,High Risk
CUST00003,0.9716764449492087,High Risk
CUST00004,0.08529731983955471,Low Risk
CUST00005,0.2814785957374087,Low Risk
CUST00006,0.7163550957676718,High Risk
CUST00007,0.029748027689891297,Low Risk
CUST00008,0.0014220820863616928,Low Risk
CUST00009,0.003730195091912783,Low Risk
CUST00010,0.508255324979753,Medium Risk
CUST00011,0.7458695561696185,High Risk
CUST00012,0.8179929886085792,High Risk
CUST00013,0.0018707122994337589,Low Risk
CUST00014,0.9841942832618247,High Risk
CUST00015,0.8669962374066877,High Risk
CUST00016,0.0022997810555427517,Low Risk
CUST00017,0.0,
CUST00018,0.0,
CUST00019,0.0,
CUST00020,0.008853694782198765,Low Risk
CUST00021,0.008468818231516611,Low Risk
CUST00022,0.730652876833543,High Risk
CUST00023,5.711060269821312e-05,Low Risk
CUST00024,0.0,
CUST00025,0.9893750838268116,High Risk
CUST00026,0.9795291849462529,High Risk
CUST00027,0.010292092876005887,Low Risk
CUST00028,0.0,
CUST00029,0.7122774605680827,High Risk
CUST00030,0.8370774675757637,High Risk
CUST00031,0.0,
CUST00032,0.0,
CUST00033,0.007488484874554214,Low Risk
CUST00034,0.0,
CUST00035,0.6199821373418652,High Risk
CUST00036,0.5234792011292947,Medium Risk
CUST00037,0.0,
CUST00038,0.8107480355337295,High Risk
CUST00039,0.9649041267577503,High Risk
CUST00040,0.9541870492549728,High Risk
CUST00041,0.0,
CUST00042,0.0033924423260400533,Low Risk
CUST00043,0.49914247640091874,Medium Risk
CUST00044,0.8043243048238895,High Risk
CUST00045,0.9586964231464188,High Risk
CUST00046,0.9857847371131746,High Risk
CUST00047,0.0,
CUST00048,0.8754320212705659,High Risk
CUST00049,0.618039967509719,High Risk
CUST00050,0.9635852807997938,High Risk
CUST00051,0.3997510385913619,Medium Risk
CUST00052,0.0,
CUST00053,0.08231961629414425,Low Risk
CUST00054,0.2717122266526313,Low Risk
CUST00055,0.9864433390147247,High Risk
CUST00056,0.003564921494024972,Low Risk
CUST00057,0.024563251845666937,Low Risk
CUST00058,0.7502111830335066,High Risk
CUST00059,0.0,
CUST00060,0.008417565606717478,Low Risk
CUST00061,0.9820365005963184,High Risk
CUST00062,0.013723663474585479,Low Risk
CUST00063,0.21422580439580322,Low Risk
CUST00064,0.00309242034958217,Low Risk
CUST00065,0.5468429990399444,Medium Risk
CUST00066,0.0,
CUST00067,0.9509342777105878,High Risk
CUST00068,0.0022143629857701587,Low Risk
CUST00069,0.001244039270687237,Low Risk
CUST00070,0.0,
CUST00071,0.4681125470435643,Medium Risk
CUST00072,0.934548304199195,High Risk
CUST00073,0.005375723585627233,Low Risk
CUST00074,0.9043414076099858,High Risk
CUST00075,0.0,
CUST00076,0.0,
CUST00077,0.5192034115873884,Medium Risk
CUST00078,0.9862750188856837,High Risk
CUST00079,0.038088666919595365,Low Risk
CUST00080,0.0,
CUST00081,0.0,
CUST00082,0.0,
CUST00083,0.0,
CUST00084,0.9862199540942954,High Risk
CUST00085,0.009296902871489874,Low Risk
CUST00086,0.33508861950934793,Medium Risk
CUST00087,0.005618531474358943,Low Risk
CUST00088,0.8991601639300799,High Risk
CUST00089,0.0,
CUST00090,0.9122208254364308,High Risk
CUST00091,0.852104937110587,High Risk
CUST00092,0.0026661213570489295,Low Risk
CUST00093,0.9710501996531815,High Risk
CUST00094,0.0,
CUST00095,0.9896522055065133,High Risk
CUST00096,0.0,
CUST00097,0.0077406853362305,Low Risk
CUST00098,0.9887458569636091,High Risk
CUST00099,0.43092058181145326,Medium Risk
CUST00100,0.23829040330977688,Low Risk
CUST00101,0.0,
CUST00102,0.00017135681627921957,Low Risk
CUST00103,0.9918174463423699,High Risk
CUST00104,0.0,
CUST00105,0.9737949748138824,High Risk
CUST00106,0.9579794409994851,High Risk
CUST00107,0.9893119402764401,High Risk
CUST00108,0.26568537910811063,Low Risk
CUST00109,0.09860774929112283,Low Risk
CUST00110,0.29549607667282524,Low Risk
CUST00111,0.6593648394127682,High Risk
CUST00112,0.9868508981580486,High Risk
CUST00113,0.9913891954860345,High Risk
CUST00114,0.9698547457495305,High Risk
CUST00115,0.0,
CUST00116,0.006135372651518215,Low Risk
CUST00117,0.9921379800181254,High Risk
CUST00118,0.0,
CUST00119,0.0,
CUST00120,0.9743455855674488,High Risk
CUST00121,0.0,
CUST00122,0.7970938044127961,High Risk
CUST00123,0.0,
CUST00124,0.003630038878657663,Low Risk
CUST00125,0.9231238194883905,High Risk
CUST00126,0.015225665248570658,Low Risk
CUST00127,0.0,
CUST00128,0.0,
CUST00129,0.01961456796979694,Low Risk
CUST00130,0.36333072829952173,Medium Risk
CUST00131,0.029890012866886785,Low Risk
CUST00132,0.31092282627400136,Medium Risk
CUST00133,0.9395963323695171,High Risk
